ID	Alldata_robust_kdp	Alldata_robust_hl	Alldata_robust_beta	Alldata_robust_beta.var	Mean_robust_kdp	Mean_robust_hl	Mean_robust_beta	Mean_robust_beta.var	Median_robust_kdp	Median_robust_hl	Median_robust_beta	Median_robust_beta.var	Threshold_robust_kdp	Threshold_robust_hl	Threshold_robust_beta	Threshold_robust_beta.var	Besttime_robust_kdp	Besttime_robust_hl	Besttime_robust_beta	Besttime_robust_beta.var	Best3time_robust_kdp	Best3time_robust_hl	Best3time_robust_beta	Best3time_robust_beta.var	Alldata_kdp	Alldata_hl	Alldata_beta	Alldata_beta.var	Mean_kdp	Mean_hl	Mean_beta	Mean_beta.var	Median_kdp	Median_hl	Median_beta	Median_beta.var	Threshold_kdp	Threshold_hl	Threshold_beta	Threshold_beta.var	Besttime_kdp	Besttime_hl	Besttime_beta	Besttime_beta.var	Best3time_kdp	Best3time_hl	Best3time_beta	Best3time_robust_beta.var
cds10118	0.019058367	36.36970431	0.033080569	1.59E-10	NA	NA	NA	NA	NA	NA	NA	NA	0.019091288	36.30698816	0.03311349	1.43E-10	0.017632628	39.31048603	0.03165483	1.78E-08	0.018525533	37.4157746	0.032547735	5.88E-10	0.02405161	28.81915939	0.038073812	1.37E-11	0.026754136	25.90803818	0.040776338	3.05E-09	0.022081986	31.38971172	0.036104188	5.30E-10	0.02405326	28.81718288	0.038075461	1.37E-11	0.018436283	37.5969048	0.032458485	1.38E-08	0.019272712	35.96521293	0.033294913	1.05E-09
cds10122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cds10128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.014973181	46.29258133	0.028995382	6.10E-09	0.015836308	43.76949338	0.02985851	2.74E-08	0.015836308	43.76949338	0.02985851	2.74E-08	0.014973181	46.29258133	0.028995382	6.10E-09	0.014193394	48.83589927	0.028215596	7.56E-06	0.014804617	46.81966156	0.028826819	7.64E-09
cds10133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.012187282	56.87463086	0.026209484	0.000233376	0.012187282	56.87463086	0.026209484	2.88E-06	0.012187282	56.87463086	0.026209484	2.88E-06	0.012187282	56.87463086	0.026209484	0.000233376	NA	NA	NA	NA	0.012187282	56.87463086	0.026209484	0.000233376
cds10134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.085804422	8.078222085	0.099826624	0.003104937	NA	NA	NA	NA	NA	NA	NA	NA	0.087490031	7.922584717	0.101512232	0.002973527	0.085804422	8.078222085	0.099826624	0.003104937	0.085804422	8.078222085	0.099826624	0.003104937
cds10135	0.033410943	20.74611216	0.047433145	2.27E-10	NA	NA	NA	NA	NA	NA	NA	NA	0.033410943	20.74611216	0.047433145	2.27E-10	0.017512926	39.57917509	0.031535128	1.26E-05	0.032264621	21.48319603	0.046286823	1.69E-08	0.022084913	31.38555245	0.036107114	5.42E-11	0.023207466	29.86742243	0.037229667	4.46E-09	0.016880161	41.06282976	0.030902363	4.80E-09	0.022084913	31.38555245	0.036107114	5.42E-11	0.017512926	39.57917509	0.031535128	2.40E-06	0.02144057	32.32876636	0.035462772	2.77E-07
cds1014	0.051263199	13.52134065	0.065285401	8.61E-09	NA	NA	NA	NA	NA	NA	NA	NA	0.051263199	13.52134065	0.065285401	8.61E-09	NA	NA	NA	NA	0.056676694	12.22984501	0.070698895	2.90E-06	0.051263199	13.52134065	0.065285401	8.61E-09	0.060881654	11.38515682	0.074903856	4.88E-07	0.059712901	11.60799717	0.073735102	4.93E-07	0.051263199	13.52134065	0.065285401	8.61E-09	NA	NA	NA	NA	0.056676694	12.22984501	0.070698895	2.90E-06
cds10146	0.069388676	9.989341471	0.083410878	7.81E-05	NA	NA	NA	NA	NA	NA	NA	NA	0.069391154	9.988984816	0.083413355	7.82E-05	0.087955006	7.880701899	0.101977207	5.50E-05	0.034669762	19.99284496	0.048691964	1.24E-10	0.035728	19.40067144	0.049750201	8.77E-11	0.047603742	14.560771	0.061625943	1.89E-09	0.020241523	34.24382574	0.034263724	2.32E-09	0.0357289	19.40018233	0.049751102	8.77E-11	0.087955006	7.880701899	0.101977207	5.50E-05	0.034669762	19.99284496	0.048691964	1.24E-10
cds10148	0.013126206	52.80636207	0.027148407	1.70E-12	NA	NA	NA	NA	NA	NA	NA	NA	0.013127604	52.80073648	0.027149806	8.94E-13	0.011467491	60.44453427	0.025489693	1.36E-09	0.012922944	53.63693963	0.026945146	1.46E-10	0.013763268	50.36210593	0.02778547	4.89E-12	0.013694103	50.61647252	0.027716304	8.33E-10	0.013233158	52.37957335	0.02725536	6.11E-10	0.013772339	50.32893829	0.02779454	4.89E-12	0.011957714	57.96652845	0.025979916	2.41E-10	0.013422368	51.64120035	0.027444569	2.58E-10
cds10150	0.041022641	16.89669829	0.055044842	4.67E-10	NA	NA	NA	NA	NA	NA	NA	NA	0.041022641	16.89669829	0.055044842	4.67E-10	0.041506588	16.69969079	0.055528789	3.08E-10	0.040376102	17.16726327	0.054398304	3.36E-07	0.037574219	18.44741425	0.05159642	2.19E-11	0.037887171	18.29503641	0.051909373	1.16E-09	0.037902987	18.28740257	0.051925189	4.03E-10	0.037574219	18.44741425	0.05159642	2.19E-11	0.03911322	17.72155775	0.053135421	7.16E-07	0.0402104	17.23800761	0.054232602	1.66E-08
